Trial #,F1 Score,num_capas_ocultas,optimizador,tasa_aprendizaje,tamaño_lote,early_stop_patience,peso_BLL,peso_FSRQ,peso_NoAGN,unidades_capa_1,activación_capa_1,tasa_abandono_capa_1,unidades_capa_2,activación_capa_2,tasa_abandono_capa_2,unidades_capa_3,activación_capa_3,tasa_abandono_capa_3,unidades_capa_4,activación_capa_4,tasa_abandono_capa_4
345,0.8818499518772259,4,AdamW,0.0008534972100847099,55,25,0.9267434224754194,0.912883422297037,1.8520622682254024,121,relu,0.25,105,selu,0.15000000000000002,137,gelu,0.1,80,selu,0.1
258,0.880676588315265,4,AdamW,0.0008992340324179956,75,20,0.8488375562700725,1.1829191892696516,1.4034611175973402,114,relu,0.25,117,relu,0.1,86,gelu,0.25,136,selu,0.1
52,0.877772196007051,4,AdamW,0.0008548399907114159,41,50,0.500034904218242,0.7907078588255927,1.9373653992328972,120,relu,0.35000000000000003,138,tanh,0.30000000000000004,121,relu,0.2,57,gelu,0.15000000000000002
326,0.8770773670814698,4,AdamW,0.0007751791403969582,54,20,0.7564402648954451,0.8597927921126749,1.300470838786332,113,relu,0.25,114,selu,0.1,87,relu,0.35000000000000003,123,selu,0.05
274,0.8770659292899214,4,AdamW,0.0008504761892723863,96,25,0.9083954867474854,0.8363087762951793,1.343067775705424,118,relu,0.2,119,elu,0.4,140,relu,0.25,61,elu,0.1
249,0.8756991485463359,4,AdamW,0.0007888837652521463,74,20,0.800135513481429,0.9035945463040025,1.3851955766917494,122,relu,0.25,111,elu,0.1,93,elu,0.30000000000000004,131,selu,0.1
238,0.875683579079524,4,AdamW,0.0008502566694673512,80,20,0.8250774667143778,0.953572066818117,1.347819555056072,119,relu,0.25,118,elu,0.1,88,tanh,0.25,117,selu,0.1
163,0.8756514799589202,4,AdamW,0.0009210395621595447,87,25,0.8604005428517434,0.8487925165550697,1.9680109319725059,116,relu,0.25,121,selu,0.1,125,relu,0.05,59,selu,0.15000000000000002
162,0.8755834815172602,4,AdamW,0.0008211930100735206,81,25,0.8193308486572384,0.8461745833566742,1.4765851003466124,120,relu,0.25,115,relu,0.1,122,relu,0.05,59,selu,0.15000000000000002
315,0.8755445532027559,4,AdamW,0.0009270183538817455,105,20,0.8165908203244041,0.9200480046769541,1.2956498954549083,108,relu,0.25,100,elu,0.1,94,relu,0.2,117,relu,0.05
328,0.8754663321566142,4,AdamW,0.0007762205391557592,44,25,0.7639208789476456,0.8154368060132904,1.1500663149627712,114,relu,0.25,113,selu,0.1,77,relu,0.35000000000000003,144,elu,0.05
365,0.8754268494359151,4,AdamW,0.0007390077045642172,84,20,0.5585973298892863,0.8067965573733429,1.3886723466622357,130,relu,0.25,115,relu,0.1,80,elu,0.2,61,selu,0.05
161,0.8754141565706595,4,AdamW,0.000850874005628416,87,20,0.861650803281085,0.8355264762560707,1.972582020774321,121,relu,0.25,120,selu,0.1,79,relu,0.05,54,elu,0.15000000000000002
224,0.8753147858205343,4,RMSprop,0.0007557061527684695,77,25,0.7666965308119573,0.8735715213561585,1.3038717204779924,117,relu,0.25,118,elu,0.1,136,relu,0.1,56,gelu,0.0
165,0.8752278223053698,4,AdamW,0.0008764270202813364,90,20,0.8796787374954815,0.9353481734403407,1.9998902660925335,121,relu,0.25,125,selu,0.1,122,relu,0.05,66,selu,0.15000000000000002
272,0.8751898550284339,4,AdamW,0.0009041470821605452,89,25,0.9026754150583947,0.8437379792412562,1.3654891812131145,122,relu,0.25,118,elu,0.1,135,relu,0.2,57,elu,0.1
407,0.8744719742151941,4,AdamW,0.0006197935792649788,89,25,0.6472648068169919,1.4145622993498355,1.9876946180993433,78,relu,0.25,132,elu,0.15000000000000002,95,relu,0.05,65,selu,0.05
85,0.8743133311781591,4,AdamW,0.0006316264309705388,80,25,0.5340504242195672,0.7472069550074324,1.8662045711169175,128,relu,0.25,126,tanh,0.0,126,tanh,0.1,42,selu,0.1
361,0.874284060010439,4,AdamW,0.0007016565929616737,81,20,0.5347563493471383,0.7960796430811122,1.958964878383663,129,relu,0.25,111,relu,0.1,83,elu,0.1,62,selu,0.05
228,0.8742017602158983,4,AdamW,0.0009716110736561436,79,20,0.8205744610961746,0.8793765072613448,1.299418972389287,114,relu,0.25,117,elu,0.1,84,relu,0.05,60,selu,0.0
233,0.8741646840519747,4,AdamW,0.00099908097964204,76,20,0.8449498425830818,0.954953550810523,1.2259432389663105,111,relu,0.25,121,elu,0.1,86,relu,0.30000000000000004,60,selu,0.1
406,0.8741304202510727,4,AdamW,0.0006345481003294252,88,25,0.705180128088893,1.320361757052476,1.998590780217392,75,relu,0.25,130,elu,0.15000000000000002,91,relu,0.05,64,selu,0.05
225,0.8741253581102313,4,RMSprop,0.0009968330888999249,77,20,0.7676669055151926,0.8643800036512763,1.314443709770244,118,relu,0.25,117,relu,0.1,138,relu,0.1,56,selu,0.1
226,0.8741092845082594,4,AdamW,0.0009244836542167857,77,20,0.7751439800119736,0.8795239093707874,1.2614118639660314,118,relu,0.25,117,elu,0.1,139,relu,0.25,56,selu,0.0
53,0.8740945759337092,4,AdamW,0.0005694404476628615,43,50,0.6271467316667391,0.8011539860816588,1.9336851216979685,116,relu,0.35000000000000003,145,tanh,0.35000000000000003,138,relu,0.30000000000000004,59,gelu,0.1
